"variant","date","proportion"
"BA.1",2022-02-11,0.669816930873875
"BA.1",2022-02-12,0.71157240838774
"BA.1",2022-02-13,0.667283363282963
"BA.1",2022-02-14,0.661716720364311
"BA.1",2022-02-15,0.504316839838239
"BA.1",2022-02-16,0.57582972709575
"BA.1",2022-02-17,0.542585109028196
"BA.1",2022-02-18,0.515919378104591
"BA.1",2022-02-19,0.548024438882958
"BA.1",2022-02-20,0.478318228985024
"BA.1",2022-02-21,0.450456227505352
"BA.1",2022-02-22,0.435512832987181
"BA.1",2022-02-23,0.415464769402264
"BA.1",2022-02-24,0.37864441259722
"BA.1",2022-02-25,0.297579333993615
"BA.1",2022-02-26,0.28701059810374
"BA.1",2022-02-27,0.289475005730191
"BA.1",2022-02-28,0.2569978915502
"BA.1",2022-03-01,0.277384969940685
"BA.1",2022-03-02,0.275949058777506
"BA.1",2022-03-03,0.244292605828712
"BA.1",2022-03-04,0.241515788881726
"BA.1",2022-03-05,0.234075572604745
"BA.1",2022-03-06,0.141677613521701
"BA.1",2022-03-07,0.130005163169306
"BA.1",2022-03-08,0.172731108628336
"BA.1",2022-03-09,0.135457417296887
"BA.1",2022-03-10,0.119015176897936
"BA.1",2022-03-11,0.105938623705037
"BA.1",2022-03-12,0.110285449426641
"BA.1",2022-03-13,0.091096332222578
"BA.1",2022-03-14,0.086889591445551
"BA.1",2022-03-15,0.078190251799659
"BA.1",2022-03-16,0.0704873127427066
"BA.1",2022-03-17,0.0690517301550926
"BA.1",2022-03-18,0.050705907155929
"BA.1",2022-03-19,0.0703828219162465
"BA.1",2022-03-20,0.0379000031361287
"BA.1",2022-03-21,0.0465134816875799
"BA.1",2022-03-22,0.0489213406007747
"BA.1",2022-03-23,0.0389102502594274
"BA.1",2022-03-24,0.0440489864564072
"BA.1",2022-03-25,0.0320849751152598
"BA.1",2022-03-26,0.0284599610468455
"BA.1",2022-03-27,0.029306860091768
"BA.1",2022-03-28,0.0233467887191585
"BA.1",2022-03-29,0.0054456018143059
"BA.1",2022-03-30,0.0136468296041252
"BA.1",2022-03-31,0.0214597903351046
